Class,Precision,Recall,F1-Score
Class 1,0.6923076923076923,0.9,0.782608695652174
Class 2,0.8888888888888888,0.8,0.8421052631578947
Class 3,0.7777777777777778,0.7,0.7368421052631579
Class 4,0.6,0.9,0.72
Class 5,1.0,0.9,0.9473684210526315
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.75,0.9,0.8181818181818182
Class 10,0.7272727272727273,0.8,0.7619047619047619
Class 11,1.0,1.0,1.0
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.6363636363636364,0.7,0.6666666666666666
Class 16,0.75,0.6,0.6666666666666666
Class 17,1.0,0.9,0.9473684210526315
Class 18,0.75,0.6,0.6666666666666666
Class 19,0.5833333333333334,0.7,0.6363636363636364
Class 20,0.7272727272727273,0.8,0.7619047619047619
Class 21,0.875,0.7,0.7777777777777778
Class 22,1.0,0.4,0.5714285714285714
Class 23,0.7,0.7,0.7
Class 24,0.9090909090909091,1.0,0.9523809523809523
Class 25,0.7692307692307693,1.0,0.8695652173913043
Class 26,0.9090909090909091,1.0,0.9523809523809523
Class 27,0.6666666666666666,1.0,0.8
Class 28,1.0,0.7,0.8235294117647058
Class 29,0.8333333333333334,0.5,0.625
Class 30,0.75,0.6,0.6666666666666666
Average,0.8431876456876458,0.8266666666666667,0.8231125811441466
