Class,Precision,Recall,F1-Score
Class 1,0.5882352941176471,1.0,0.7407407407407407
Class 2,0.75,0.6,0.6666666666666666
Class 3,0.5833333333333334,0.7,0.6363636363636364
Class 4,0.8181818181818182,0.9,0.8571428571428571
Class 5,0.8888888888888888,0.8,0.8421052631578947
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.7,0.8235294117647058
Class 10,0.8,0.8,0.8
Class 11,0.9090909090909091,1.0,0.9523809523809523
Class 12,0.7692307692307693,1.0,0.8695652173913043
Class 13,0.9090909090909091,1.0,0.9523809523809523
Class 14,1.0,0.9,0.9473684210526315
Class 15,0.8181818181818182,0.9,0.8571428571428571
Class 16,0.7142857142857143,1.0,0.8333333333333334
Class 17,1.0,1.0,1.0
Class 18,0.8333333333333334,0.5,0.625
Class 19,1.0,0.9,0.9473684210526315
Class 20,0.8,0.4,0.5333333333333333
Class 21,0.7142857142857143,1.0,0.8333333333333334
Class 22,1.0,0.3,0.46153846153846156
Class 23,0.8,0.8,0.8
Class 24,1.0,0.9,0.9473684210526315
Class 25,0.9090909090909091,1.0,0.9523809523809523
Class 26,1.0,0.9,0.9473684210526315
Class 27,0.9090909090909091,1.0,0.9523809523809523
Class 28,0.8181818181818182,0.9,0.8571428571428571
Class 29,0.75,0.6,0.6666666666666666
Class 30,0.9090909090909091,1.0,0.9523809523809523
Average,0.8663864349158469,0.85,0.8418327693944646
