Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,1.0,1.0,1.0
Class 3,1.0,1.0,1.0
Class 4,1.0,1.0,1.0
Class 5,1.0,1.0,1.0
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.6,0.7499999999999999
Class 10,0.8333333333333334,1.0,0.9090909090909091
Class 11,1.0,1.0,1.0
Class 12,0.6666666666666666,0.8,0.7272727272727272
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.7142857142857143,1.0,0.8333333333333333
Class 16,1.0,1.0,1.0
Class 17,0.8333333333333334,1.0,0.9090909090909091
Class 18,1.0,0.4,0.5714285714285715
Class 19,1.0,1.0,1.0
Class 20,1.0,1.0,1.0
Class 21,0.6,0.6,0.6
Class 22,1.0,0.8,0.888888888888889
Class 23,0.6666666666666666,0.8,0.7272727272727272
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,1.0,1.0
Class 27,1.0,1.0,1.0
Class 28,1.0,1.0,1.0
Class 29,0.8,0.8,0.8000000000000002
Class 30,0.8,0.8,0.8000000000000002
Average,0.9304761904761905,0.92,0.9172126022126023
