Class,Precision,Recall,F1-Score
Class 1,0.6666666666666666,0.8,0.7272727272727273
Class 2,0.8333333333333334,1.0,0.9090909090909091
Class 3,1.0,0.8,0.8888888888888888
Class 4,0.5714285714285714,0.8,0.6666666666666666
Class 5,0.8333333333333334,1.0,0.9090909090909091
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.8,0.8888888888888888
Class 10,0.5,0.6,0.5454545454545454
Class 11,0.8333333333333334,1.0,0.9090909090909091
Class 12,0.8333333333333334,1.0,0.9090909090909091
Class 13,1.0,1.0,1.0
Class 14,1.0,0.8,0.8888888888888888
Class 15,1.0,0.8,0.8888888888888888
Class 16,1.0,0.4,0.5714285714285714
Class 17,1.0,1.0,1.0
Class 18,0.8,0.8,0.8
Class 19,0.8333333333333334,1.0,0.9090909090909091
Class 20,0.5,0.6,0.5454545454545454
Class 21,1.0,0.8,0.8888888888888888
Class 22,1.0,0.8,0.8888888888888888
Class 23,0.5,1.0,0.6666666666666666
Class 24,1.0,1.0,1.0
Class 25,0.8,0.8,0.8
Class 26,0.8333333333333334,1.0,0.9090909090909091
Class 27,1.0,0.8,0.8888888888888888
Class 28,0.75,0.6,0.6666666666666666
Class 29,1.0,1.0,1.0
Class 30,0.0,0.0,0.0
Average,0.8362698412698413,0.8333333333333334,0.8222126022126024
