Class,Precision,Recall,F1-Score
1,0.842956063544299,0.97,0.8948131747902914
2,0.8293578643578643,0.8300000000000001,0.8239333181438445
3,0.843095238095238,0.6900000000000001,0.733673957621326
4,0.8791558441558441,0.9,0.8782346150581445
5,0.9064529914529915,0.89,0.8936728844509165
6,0.990909090909091,1.0,0.9952380952380953
7,1.0,1.0,1.0
8,1.0,0.99,0.9947368421052631
9,0.9087662337662337,0.82,0.8399647737883033
10,0.7728787878787878,0.78,0.7695057720057721
11,0.9511655011655012,0.99,0.9678405499915798
12,0.8594017094017093,0.9800000000000001,0.908977978543196
13,0.990909090909091,1.0,0.9952380952380953
14,1.0,0.99,0.9947368421052631
15,0.7452813852813853,0.86,0.7959307359307359
16,0.8470995670995671,0.93,0.8812987012987014
17,0.9733333333333334,0.96,0.964534821903243
18,0.8064285714285715,0.64,0.6962946693829047
19,0.8109090909090909,0.8400000000000001,0.8215910989595201
20,0.7448701298701299,0.77,0.742981462981463
21,0.8578174603174602,0.76,0.7753729913017839
22,1.0,0.6900000000000001,0.7952557676241887
23,0.7553030303030303,0.79,0.7623232323232323
24,0.9818181818181818,0.97,0.9741019214703426
25,0.9496503496503497,1.0,0.9726708074534163
26,0.990909090909091,0.9400000000000001,0.9624895572263993
27,0.8877705627705629,0.96,0.9161832611832612
28,0.9393939393939394,0.93,0.927476445123504
29,0.8115476190476191,0.64,0.7103104575163399
30,0.9316233766233767,0.78,0.8356145265123593
Average,0.8936268034797447,0.8763333333333334,0.874166578575716
