Class,Precision,Recall,F1-Score
1,0.9111111111111111,0.96,0.9320574162679426
2,0.9066666666666666,0.9199999999999999,0.9112918660287083
3,0.8564285714285715,0.64,0.7202240896358544
4,0.9818181818181818,0.96,0.9694235588972431
5,0.96,0.8800000000000001,0.9167251461988304
6,0.9818181818181818,1.0,0.9904761904761905
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,0.905,0.9199999999999999,0.9010976158344579
10,0.8525252525252526,0.78,0.8046365914786968
11,0.9303030303030303,1.0,0.9627705627705628
12,0.8969696969696971,1.0,0.9445887445887446
13,0.9636363636363636,1.0,0.980952380952381
14,1.0,1.0,1.0
15,0.7664801864801865,0.9400000000000001,0.8402070393374741
16,0.8918181818181818,0.9199999999999999,0.9035862383230805
17,0.9636363636363636,0.9800000000000001,0.9704260651629074
18,1.0,0.72,0.8319573443412451
19,0.9184615384615384,0.9400000000000001,0.9259954233409611
20,0.8928571428571429,0.9199999999999999,0.8975544922913343
21,0.9244444444444444,0.76,0.8276006191950465
22,1.0,0.86,0.9239766081871345
23,0.8300000000000001,0.86,0.8436363636363637
24,0.9818181818181818,1.0,0.9904761904761905
25,0.9484848484848485,0.9800000000000001,0.9617680565048985
26,0.9818181818181818,1.0,0.9904761904761905
27,0.8326340326340327,1.0,0.9053416149068323
28,0.8934421134421134,0.9400000000000001,0.9128102865860303
29,0.8955555555555555,0.8200000000000001,0.8546198830409356
30,0.9555555555555555,0.8800000000000001,0.9146198830409358
Average,0.9274427794427795,0.9193333333333332,0.9176432153992391
