fold,val_loss,val_accuracy,precision_avg,recall_avg,f1_avg
1,0.5662673177491677,0.82,0.8092328042328042,0.8200000000000001,0.806898101898102
2,0.42776220321263136,0.8333333333333334,0.8362698412698413,0.8333333333333334,0.8222126022126024
3,0.5480531470752076,0.8066666666666666,0.7837301587301587,0.8066666666666668,0.784928034928035
4,0.5185063073509618,0.7866666666666666,0.7756746031746033,0.7866666666666667,0.7698762348762348
5,0.5566184242305002,0.78,0.8136243386243386,0.7799999999999999,0.7791634835752482
6,0.4556528728847441,0.8533333333333334,0.8717094017094017,0.8533333333333334,0.8380957930957932
7,0.7129018512603483,0.7733333333333333,0.7819973544973545,0.7733333333333334,0.7525319125319125
8,0.5626247003674507,0.8133333333333334,0.7950793650793649,0.8133333333333332,0.7950534650534651
9,0.33307174357928726,0.84,0.8665656565656565,0.8400000000000001,0.83499814999815
10,0.8493037310085798,0.7266666666666667,0.7283201058201059,0.7266666666666667,0.7024723424723425
